"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","PEG","P/S","P/B","P/Free Cash Flow","Dividend","Dividend Yield","EPS (ttm)","EPS growth this year","EPS growth past 5 years","Sales growth past 5 years","Sales growth quarter over quarter","EPS growth quarter over quarter","Sales","Shares Outstanding","Shares Float","Float Short","Return on Equity","Current Ratio","Gross Margin","Operating Margin","Profit Margin","Performance (Half Year)","Performance (Year)","Performance (YTD)","52-Week High","Price","Change"
1273,"ESCA","Escalade, Incorporated","Consumer Cyclical","Leisure","USA",173.22,8.60,0.57,0.55,1.10,,0.60,4.73%,1.48,-3.50%,17.00%,12.80%,-7.90%,-49.90%,315.10,13.59,8.88,0.94%,13.20%,4.20,23.40%,8.80%,6.40%,5.93%,-13.73%,24.66%,-14.26%,12.69,-1.32%
1274,"ESE","ESCO Technologies Inc.","Technology","Scientific & Technical Instruments","USA",2585.00,31.57,2.10,3.01,2.46,27.24,0.32,0.32%,3.16,30.40%,8.90%,4.60%,24.80%,53.50%,857.50,25.86,25.49,0.77%,8.00%,1.80,38.70%,12.90%,9.60%,26.34%,25.86%,13.93%,-1.40%,99.73,-0.18%
1275,"ESGD","iShares ESG Aware MSCI EAFE ETF","Financial","Exchange Traded Fund","USA",,,,,,,1.70,2.38%,,,,,,,,,,,,,,,,8.49%,-7.92%,8.84%,-8.85%,71.55,-1.04%
1276,"ESGE","iShares ESG Aware MSCI EM ETF","Financial","Exchange Traded Fund","USA",,,,,,,0.81,2.47%,,,,,,,,,,,,,,,,1.71%,-18.54%,8.58%,-20.07%,32.65,-1.89%
1277,"ESGU","iShares ESG Aware MSCI USA ETF","Financial","Exchange Traded Fund","USA",,,,,,,1.34,1.47%,,,,,,,,,,,,,,,,-1.09%,-10.91%,8.06%,-11.74%,91.58,-1.14%
1278,"ESI","Element Solutions Inc","Basic Materials","Specialty Chemicals","USA",5220.46,30.03,4.58,1.99,2.32,28.22,0.32,1.48%,0.72,166.50%,26.90%,6.30%,0.40%,49.60%,2622.50,244.70,224.18,1.36%,7.40%,3.30,37.00%,12.40%,6.80%,10.29%,-7.56%,19.02%,-12.86%,21.65,-0.60%
1279,"ESMT","EngageSmart, Inc.","Technology","Software - Infrastructure","USA",3161.91,228.51,,11.23,4.12,98.50,,,0.09,-33.50%,,,42.00%,178.00%,281.60,164.43,153.58,1.07%,1.90%,6.90,75.80%,3.90%,5.20%,-5.33%,-7.10%,12.95%,-19.45%,19.88,-1.24%
1280,"ESPO","VanEck Video Gaming and eSports ETF","Financial","Exchange Traded Fund","USA",,,,,,,0.39,0.79%,,,,,,,,,,,,,,,,-3.85%,-21.09%,16.05%,-23.93%,49.74,-2.57%
1281,"ESQ","Esquire Financial Holdings, Inc.","Financial","Banks - Regional","USA",376.33,13.25,,6.17,2.36,11.95,0.40,0.87%,3.47,36.60%,41.20%,22.50%,39.10%,195.80%,61.00,7.64,6.94,2.63%,14.40%,,,69.90%,34.30%,25.41%,28.78%,6.22%,-4.54%,45.95,-0.84%
1282,"ESSA","ESSA Bancorp, Inc.","Financial","Banks - Regional","USA",217.67,10.10,,3.47,0.95,13.69,0.60,2.89%,2.06,24.50%,24.50%,1.50%,22.40%,49.10%,62.80,9.72,8.75,0.18%,8.60%,,,89.50%,28.90%,14.31%,17.61%,-0.48%,-4.70%,20.77,0.53%
1283,"ESTC","Elastic N.V.","Technology","Software - Application","USA",5656.15,,,5.78,14.91,18853.84,,,-2.54,-48.40%,-24.10%,57.80%,28.30%,2.70%,977.80,95.31,78.04,6.07%,-58.60%,1.90,71.70%,-22.00%,-24.50%,-29.37%,-30.92%,19.03%,-37.92%,61.30,-5.84%
1284,"ESTE","Earthstone Energy, Inc.","Energy","Oil & Gas E&P","USA",1932.23,3.84,0.11,1.44,0.92,2.46,,,3.50,256.80%,17.50%,58.30%,381.40%,883.10%,1344.20,105.25,74.81,13.23%,34.90%,0.60,80.80%,59.80%,27.00%,1.28%,3.54%,-5.48%,-39.55%,13.45,-1.03%
1285,"ET","Energy Transfer LP","Energy","Oil & Gas Midstream","USA",41444.75,9.86,,0.47,1.53,11.67,1.22,9.19%,1.35,889.10%,7.10%,16.20%,37.70%,47.10%,88032.00,3087.60,2477.18,3.07%,15.70%,1.10,19.40%,8.60%,4.70%,19.53%,33.33%,11.88%,-2.85%,13.28,0.00%
1286,"ETB","Eaton Vance Tax-Managed Buy-Write Income Fund","Financial","Closed-End Fund - Equity","USA",401.86,4.39,,57.86,1.01,,1.12,8.17%,3.12,,,,17.80%,,6.95,29.35,29.35,0.35%,,,,,,-15.81%,-16.42%,4.11%,-23.31%,13.69,-0.65%
1287,"ETD","Ethan Allen Interiors Inc.","Consumer Cyclical","Furnishings, Fixtures & Appliances","USA",761.58,6.90,0.75,0.90,1.78,29.63,1.28,4.20%,4.42,71.00%,25.60%,1.40%,-2.40%,4.40%,850.00,25.47,22.82,14.63%,27.80%,1.90,59.40%,17.80%,13.40%,23.07%,23.51%,15.44%,1.97%,30.50,2.07%
1288,"ETG","Eaton Vance Tax-Advantaged Global Dividend Income Fund","Financial","Closed-End Fund - Equity","USA",4451.77,,,72.01,,,1.20,7.13%,-0.06,-19.20%,-13.70%,,-17.50%,-13.80%,61.82,197.07,158.59,0.01%,15.50%,41.50,,,,-11.87%,-21.85%,11.59%,-21.41%,16.85,-0.94%
1289,"ETHO","Etho Climate Leadership U.S. ETF","Financial","Exchange Traded Fund","USA",,,,,,,0.54,0.97%,,,,,,,,,,,,,,,,2.01%,-6.11%,11.90%,-7.90%,55.26,-1.01%
1290,"ETNB","89bio, Inc.","Healthcare","Biotechnology","USA",620.96,,,,4.10,,,,-4.35,-45.70%,,,,59.80%,,47.25,46.17,9.27%,-89.90%,5.80,,,,267.78%,140.73%,4.01%,2.24%,13.24,4.25%
1291,"ETO","Eaton Vance Tax-Advantaged Global Dividend Opportunities Fund","Financial","Closed-End Fund - Equity","USA",379.08,2.18,,20.78,1.05,,1.65,7.13%,10.61,,,,26.00%,,18.24,16.38,16.38,0.03%,,,,,,-17.94%,-25.09%,10.51%,-25.26%,23.14,-1.05%
1292,"ETV","Eaton Vance Tax-Managed Buy-Write Opportunities Fund","Financial","Closed-End Fund - Equity","USA",1430.47,4.49,,73.41,1.03,,1.14,8.68%,2.92,,,,22.10%,,19.49,109.03,109.03,0.48%,,,,,,-14.86%,-17.59%,6.84%,-18.86%,13.12,-2.09%
1293,"ETX","Eaton Vance Municipal Income 2028 Term Trust","Financial","Asset Management","USA",199.86,,,,,,0.74,4.03%,,,,,,,,10.88,10.88,0.12%,,,,,,-10.74%,-10.61%,3.03%,-16.69%,18.37,-0.86%
1294,"ETY","Eaton Vance Tax-Managed Diversified Equity Income Fund","Financial","Closed-End Fund - Equity","USA",1847.42,3.12,,61.45,1.04,,0.97,8.17%,3.79,,,,4.20%,,30.06,156.16,156.16,0.43%,,,,,,-9.00%,-17.56%,8.93%,-18.13%,11.83,-0.67%
