"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","PEG","P/S","P/B","P/Free Cash Flow","Dividend","Dividend Yield","EPS (ttm)","EPS growth this year","EPS growth past 5 years","Sales growth past 5 years","Sales growth quarter over quarter","EPS growth quarter over quarter","Sales","Shares Outstanding","Shares Float","Float Short","Return on Equity","Current Ratio","Gross Margin","Operating Margin","Profit Margin","Performance (Half Year)","Performance (Year)","Performance (YTD)","52-Week High","Price","Change"
1,"AA","Alcoa Corporation","Basic Materials","Aluminum","USA",9220.01,,,0.74,1.76,8.26,0.40,0.76%,-0.83,347.00%,24.80%,5.50%,-8.30%,-336.20%,12451.00,179.00,175.35,3.94%,19.00%,1.80,18.00%,13.70%,7.70%,10.22%,-10.93%,15.99%,-46.23%,52.74,-1.71%
2,"AAC","Ares Acquisition Corporation","Financial","Shell Companies","USA",1275.07,47.40,,,1.32,,,,0.21,,,,,-40.90%,,125.00,100.00,0.02%,2.80%,0.10,,,,3.24%,4.30%,1.19%,0.00%,10.19,0.20%
3,"AACI","Armada Acquisition Corp. I","Financial","Shell Companies","USA",206.22,,,,1.44,,,,-0.17,-714.40%,,,,130.00%,,20.71,15.16,0.09%,-2.40%,0.10,,,,4.26%,,1.48%,-15.82%,10.27,1.08%
4,"AADI","Aadi Bioscience, Inc.","Healthcare","Biotechnology","USA",307.11,,,27.92,1.58,,,,-2.98,-712.40%,-1.30%,,,92.60%,11.00,21.27,20.64,5.02%,-46.50%,10.60,89.90%,,,-11.20%,-30.35%,-2.34%,-40.76%,12.53,0.00%
5,"AADR","AdvisorShares Dorsey Wright ADR ETF","Financial","Exchange Traded Fund","USA",,,,,,,1.98,4.06%,,,,,,,,,,,,,,,,-3.81%,-23.75%,2.05%,-24.75%,48.74,-1.80%
6,"AAL","American Airlines Group Inc.","Industrials","Airlines","USA",11182.48,515.76,32.06,0.23,,4.45,,,0.03,83.10%,-21.70%,-5.70%,50.10%,173.50%,48972.00,650.59,641.48,13.95%,45.70%,0.80,57.90%,-6.60%,-7.60%,14.54%,0.35%,33.81%,-20.54%,17.02,-0.23%
7,"AAN","The Aaron's Company, Inc.","Industrials","Rental & Leasing Services","USA",463.64,30.69,,0.22,0.68,9.80,0.45,2.91%,0.50,141.50%,10.00%,-1.10%,31.20%,-168.90%,2104.70,30.88,29.81,6.56%,2.30%,,54.80%,1.10%,0.80%,15.97%,-26.05%,29.46%,-34.53%,15.47,-1.53%
8,"AAON","AAON, Inc.","Industrials","Building Products & Equipment","USA",4262.76,64.32,5.36,5.53,8.20,,0.48,0.59%,1.26,-26.60%,1.80%,6.80%,75.00%,75.00%,770.50,53.19,42.27,1.44%,13.80%,2.40,24.10%,11.10%,8.80%,29.33%,30.44%,7.25%,-2.67%,80.78,1.06%
9,"AAPD","Direxion Daily AAPL Bear 1X Shares","Financial","Exchange Traded Fund","USA",,,,,,,0.51,2.00%,,,,,,,,,,,,,,,,,,-16.08%,-19.69%,25.37,-2.35%
10,"AAPU","Direxion Daily AAPL Bull 1.5X Shares","Financial","Exchange Traded Fund","USA",,,,,,,0.48,2.26%,,,,,,,,,,,,,,,,,,28.53%,-22.35%,21.40,3.48%
11,"AAT","American Assets Trust, Inc.","Real Estate","REIT - Diversified","USA",1718.38,41.27,13.76,4.11,1.41,,1.28,4.43%,0.70,2.30%,-8.00%,5.00%,12.90%,27.10%,418.40,60.04,59.85,1.61%,3.40%,,64.40%,27.10%,10.00%,-0.17%,-19.55%,9.02%,-26.11%,28.89,-2.60%
12,"AAXJ","iShares MSCI All Country Asia ex Japan ETF","Financial","Exchange Traded Fund","USA",,,,,,,0.99,1.42%,,,,,,,,,,,,,,,,2.92%,-14.11%,8.41%,-15.92%,70.24,-1.82%
13,"AB","AllianceBernstein Holding L.P.","Financial","Asset Management","USA",3981.36,11.59,,10.83,2.52,,4.43,11.28%,3.39,34.40%,11.80%,11.70%,-33.40%,-37.20%,367.70,100.47,96.18,0.56%,21.50%,,,100.00%,91.30%,-12.99%,-17.43%,14.23%,-23.10%,39.26,-0.73%
14,"ABCB","Ameris Bancorp","Financial","Banks - Regional","USA",3505.07,10.07,1.26,4.39,1.11,4.63,0.60,1.20%,4.98,43.20%,21.10%,24.10%,35.40%,14.00%,798.60,69.12,65.65,2.36%,11.00%,,,87.60%,42.00%,6.99%,2.10%,6.45%,-7.49%,50.18,0.78%
15,"ABCL","AbCellera Biologics Inc.","Healthcare","Biotechnology","Canada",3127.27,13.99,1.40,5.18,2.55,19.32,,,0.80,9.30%,,,1740.60%,210.00%,603.20,285.32,203.83,9.65%,21.20%,9.90,,55.70%,41.20%,-1.32%,20.47%,10.37%,-25.32%,11.18,1.54%
16,"ABCM","Abcam plc","Healthcare","Biotechnology","United Kingdom",3138.70,401.35,1029.11,7.22,3.76,72.15,,,0.04,27.40%,,,52.10%,138.80%,434.70,229.27,229.25,0.27%,1.00%,1.30,72.70%,1.60%,1.90%,-4.32%,-18.63%,-4.56%,-23.41%,14.85,-2.50%
17,"ABEQ","Absolute Select Value ETF","Financial","Exchange Traded Fund","USA",,,,,,,0.33,1.17%,,,,,,,,,,,,,,,,5.68%,-0.85%,2.07%,-8.38%,28.40,-1.14%
18,"ABGI","ABG Acquisition Corp. I","Financial","Shell Companies","USA",195.89,,,,1.34,,,,-0.01,,,,,361.20%,,19.33,15.06,0.05%,0.00%,0.80,,,,3.57%,4.37%,0.59%,-2.59%,10.15,0.00%
19,"ABM","ABM Industries Incorporated","Industrials","Specialty Business Services","USA",3154.74,14.08,5.06,0.40,1.86,,0.88,1.83%,3.41,83.80%,20.60%,7.40%,18.60%,45.90%,7806.50,66.50,65.41,2.57%,13.70%,1.20,13.40%,4.50%,3.00%,7.31%,14.80%,8.08%,-11.09%,48.01,0.15%
20,"ABR","Arbor Realty Trust, Inc.","Real Estate","REIT - Mortgage","USA",2587.24,9.30,1.16,2.54,1.19,3.55,1.60,10.45%,1.65,66.70%,20.00%,30.20%,51.10%,-32.90%,1020.10,170.23,167.69,4.23%,14.80%,,59.00%,36.90%,29.70%,-1.98%,-11.71%,16.07%,-15.37%,15.31,-0.20%
21,"ABST","Absolute Software Corporation","Technology","Software - Application","Canada",832.70,,,3.02,,15.45,0.32,2.70%,-0.69,-750.10%,-30.90%,16.70%,22.70%,-21.10%,275.90,51.42,35.43,3.70%,-490.90%,0.70,81.40%,-3.90%,-12.70%,21.17%,48.87%,13.51%,-5.84%,11.85,-0.92%
22,"AC","Associated Capital Group, Inc.","Financial","Capital Markets","USA",796.05,,,36.68,0.93,,0.20,0.54%,-2.41,207.80%,45.80%,-7.70%,23.80%,,21.70,22.01,2.99,0.58%,-5.90%,,,-49.60%,,-11.13%,-13.35%,-11.74%,-18.57%,37.06,-4.01%
23,"ACA","Arcosa, Inc.","Industrials","Infrastructure Operations","USA",2842.88,28.88,7.04,1.26,1.41,18.67,0.20,0.34%,2.06,-34.70%,-10.80%,3.60%,8.00%,35.30%,2264.30,48.30,47.84,1.26%,5.00%,2.20,18.80%,6.90%,4.40%,0.80%,30.78%,9.31%,-9.73%,59.40,-1.15%
24,"ACAD","ACADIA Pharmaceuticals Inc.","Healthcare","Biotechnology","USA",3226.54,,,6.31,7.54,,,,-1.34,41.60%,14.90%,94.60%,-0.70%,-86.70%,511.50,161.85,161.70,4.96%,-47.10%,4.50,98.00%,-43.40%,-42.50%,26.95%,-16.82%,24.56%,-29.32%,19.83,-0.40%
25,"ACAQ","Athena Consumer Acquisition Corp.","Financial","Shell Companies","USA",340.37,,,,1.52,,,,-0.06,,,,,,,32.11,23.00,0.02%,-0.80%,0.30,,,,6.00%,,2.12%,-2.75%,10.60,0.00%
26,"ACCD","Accolade, Inc.","Healthcare","Health Information Services","USA",863.41,,,2.41,1.85,,,,-6.65,-11.90%,,,8.90%,-277.80%,357.90,71.23,68.97,5.06%,-77.90%,3.10,46.50%,,,9.94%,-34.66%,61.87%,-44.98%,12.61,-1.71%
27,"ACDC","ProFrac Holding Corp.","Energy","Oil & Gas Equipment & Services","USA",3464.73,51.90,,1.84,,524.96,,,0.41,63.90%,,,33.90%,191.20%,1879.60,142.37,22.66,9.04%,-12.20%,1.50,39.20%,15.60%,3.10%,22.49%,,-16.59%,-22.15%,21.02,-1.59%
28,"ACES","ALPS Clean Energy ETF","Financial","Exchange Traded Fund","USA",,,,,,,0.49,0.93%,,,,,,,,,,,,,,,,-13.72%,0.74%,16.55%,-21.94%,53.02,-2.20%
29,"ACHC","Acadia Healthcare Company, Inc.","Healthcare","Medical Care Facilities","USA",7335.79,26.22,2.08,2.90,2.65,108.04,,,3.09,40.30%,99.20%,-3.80%,13.50%,6.50%,2528.60,89.83,89.57,3.80%,10.80%,1.30,,17.70%,11.20%,0.25%,51.33%,-1.65%,-9.89%,80.96,-0.93%
30,"ACI","Albertsons Companies, Inc.","Consumer Defensive","Grocery Stores","USA",11361.69,8.71,1.09,0.15,13.99,,0.48,2.24%,2.46,83.70%,32.10%,3.80%,8.50%,-72.60%,76768.10,534.60,313.67,1.80%,,0.80,28.20%,,,6.34%,0.24%,3.18%,-24.98%,21.40,0.28%
31,"ACIW","ACI Worldwide, Inc.","Technology","Software - Infrastructure","USA",3150.82,20.44,1.70,2.19,2.67,19.84,,,1.38,75.00%,-0.20%,6.40%,-3.30%,74.10%,1436.90,113.81,111.16,2.65%,13.20%,1.20,52.70%,15.20%,11.20%,3.57%,-17.30%,22.43%,-20.23%,28.16,-0.98%
32,"ACLX","Arcellx, Inc.","Healthcare","Biotechnology","USA",1400.21,,,,6.07,,,,-4.15,-102.40%,,,,-66.40%,,43.82,39.95,6.79%,-102.30%,6.50,,,,67.26%,,5.55%,-7.00%,32.70,-2.01%
33,"ACM","AECOM","Industrials","Engineering & Construction","USA",12264.34,32.15,2.51,0.93,4.94,22.95,0.72,0.82%,2.73,38.50%,5.00%,-6.30%,2.20%,26.00%,13148.20,139.62,137.72,1.40%,12.50%,1.10,6.40%,4.90%,2.40%,22.59%,25.15%,3.19%,-0.88%,87.64,0.62%
34,"ACMR","ACM Research, Inc.","Technology","Semiconductor Equipment & Materials","USA",719.39,18.68,0.44,1.92,1.11,,,,0.65,95.50%,109.70%,56.80%,99.60%,525.40%,375.40,59.36,44.62,6.13%,6.50%,2.80,46.70%,16.40%,11.50%,-33.09%,-55.17%,56.29%,-59.15%,12.05,-2.35%
35,"ACNB","ACNB Corporation","Financial","Banks - Regional","USA",347.72,11.54,,4.30,1.47,15.52,1.12,2.81%,3.45,50.00%,12.20%,14.10%,20.00%,42.40%,80.80,8.59,8.16,0.91%,10.80%,,,89.40%,33.50%,15.38%,23.31%,0.05%,-3.51%,39.83,-0.42%
36,"ACNT","Ascent Industries Co.","Basic Materials","Steel","USA",111.60,3.80,0.31,0.26,0.85,,,,2.94,168.60%,36.00%,19.30%,16.20%,-93.20%,428.30,10.25,8.88,0.11%,23.90%,3.30,17.50%,8.80%,7.00%,-15.33%,-35.86%,28.72%,-41.88%,11.16,-0.09%
37,"ACQR","Independence Holdings Corp.","Financial","Shell Companies","USA",629.82,32.99,,,1.31,,,,0.31,,,,,310.70%,,61.99,49.59,0.29%,4.00%,13.60,,,,3.67%,4.42%,0.79%,-6.14%,10.16,0.05%
38,"ACQRU","Independence Holdings Corp.","Financial","Shell Companies","USA",630.42,78.23,,,,,,,0.13,,,,,310.80%,,7.56,7.56,0.00%,,,,,,2.73%,3.04%,1.09%,-2.21%,10.17,0.00%
39,"ACRE","Ares Commercial Real Estate Corporation","Real Estate","REIT - Mortgage","USA",662.22,13.67,5.97,4.02,0.88,,1.32,10.60%,0.91,115.30%,9.30%,13.20%,14.30%,-94.40%,164.60,54.42,51.36,3.86%,6.00%,,55.50%,26.90%,26.80%,-6.88%,-14.40%,20.99%,-24.05%,12.45,-1.03%
40,"ACRO","Acropolis Infrastructure Acquisition Corp.","Financial","Shell Companies","USA",433.59,,,,1.31,,,,-0.03,,,,,307.30%,,43.12,34.50,0.07%,-0.30%,0.20,,,,3.71%,3.71%,1.11%,-2.42%,10.06,0.00%
41,"ACRS","Aclaris Therapeutics, Inc.","Healthcare","Biotechnology","USA",901.45,,,38.36,4.26,,,,-1.29,-33.20%,6.50%,,1046.40%,13.40%,23.50,66.67,60.26,4.72%,-39.40%,13.00,50.70%,,,-16.22%,22.81%,-10.79%,-25.89%,14.05,-1.95%
42,"ACRV","Acrivon Therapeutics, Inc.","Healthcare","Biotechnology","USA",397.86,,,,,,,,,,,,,,,20.88,11.24,0.61%,,,,,,,,65.36%,-7.98%,19.05,7.02%
43,"ACT","Enact Holdings, Inc.","Financial","Insurance - Specialty","USA",4079.25,5.74,28.98,3.74,0.99,7.55,0.56,2.23%,4.38,47.50%,,,-1.90%,38.70%,1091.00,162.84,29.82,4.55%,17.50%,,,88.10%,65.40%,2.84%,21.28%,4.06%,-7.49%,25.10,0.80%
44,"ACV","Virtus Diversified Income & Convertible Fund","Financial","Asset Management","USA",247.47,,,,,,2.16,9.05%,,,-3.05%,,,,,10.36,10.36,0.26%,,,,,,4.65%,-15.26%,28.66%,-15.47%,23.88,0.00%
45,"ACVA","ACV Auctions Inc.","Consumer Cyclical","Auto & Truck Dealerships","USA",1721.21,,,4.06,3.52,,,,-0.66,-134.40%,,,14.80%,5.90%,423.70,157.26,116.11,6.51%,-19.80%,2.30,42.90%,-24.70%,-24.50%,45.69%,-8.30%,35.93%,-28.92%,11.16,0.81%
46,"ACWF","iShares MSCI Global Multifactor ETF","Financial","Exchange Traded Fund","USA",,,,,,,0.80,2.37%,,,,,,,,,,,,,,,,2.86%,-9.84%,6.78%,-11.15%,33.91,-0.99%
47,"ACWI","iShares MSCI ACWI ETF","Financial","Exchange Traded Fund","USA",,,,,,,1.59,1.74%,,,,,,,,,,,,,,,,1.94%,-10.29%,8.22%,-11.05%,91.86,-1.15%
48,"ACWX","iShares MSCI ACWI ex U.S. ETF","Financial","Exchange Traded Fund","USA",,,,,,,1.31,2.65%,,,,,,,,,,,,,,,,6.32%,-10.20%,8.33%,-11.48%,49.29,-1.18%
49,"ADC","Agree Realty Corporation","Real Estate","REIT - Retail","USA",6568.53,41.66,20.75,16.23,1.35,216.78,2.88,3.89%,1.78,2.60%,-1.70%,30.00%,25.80%,-10.80%,404.70,88.57,87.14,8.21%,3.80%,,88.00%,50.40%,34.50%,-2.36%,14.57%,4.43%,-7.92%,74.07,-0.86%
50,"ADEA","Adeia Inc.","Technology","Software - Application","USA",1194.58,,,1.30,1.18,6.95,0.20,1.79%,-3.65,-129.00%,-19.60%,27.60%,-3.90%,-765.80%,916.80,104.51,102.49,2.72%,-30.30%,2.50,86.30%,-34.10%,-41.90%,153.87%,150.70%,17.93%,-5.65%,11.18,1.36%
51,"ADER","26 Capital Acquisition Corp.","Financial","Shell Companies","USA",349.74,39.82,,,1.37,,,,0.26,,,,,-106.60%,,34.38,27.50,0.01%,3.50%,0.10,,,,3.31%,3.20%,0.20%,-0.54%,10.15,-0.44%
52,"ADEX","Adit EdTech Acquisition Corp.","Financial","Shell Companies","USA",353.94,137.07,,,1.35,,,,0.07,,,,,259.90%,,34.50,27.63,0.04%,1.00%,0.00,,,,4.68%,3.84%,1.68%,-6.12%,10.28,0.00%
53,"ADM","Archer-Daniels-Midland Company","Consumer Defensive","Farm Products","USA",45885.91,10.68,4.55,0.45,1.92,57.29,1.80,2.19%,7.70,52.50%,17.20%,6.50%,21.40%,98.20%,101848.00,561.00,546.57,1.03%,15.20%,1.50,7.40%,3.60%,3.50%,0.32%,7.29%,-11.38%,-16.79%,82.28,-0.04%
54,"ADOC","Edoc Acquisition Corp.","Financial","Shell Companies","USA",51.66,,,,3.03,,,,-1.43,,,,,-527.50%,,4.82,1.78,0.47%,-36.80%,0.00,,,,5.16%,6.21%,1.86%,-7.80%,10.69,0.05%
55,"ADPV","Adaptiv Select ETF","Financial","Exchange Traded Fund","USA",,,,,,,0.06,0.25%,,,,,,,,,,,,,,,,,,1.10%,-4.59%,25.38,0.12%
56,"ADRE","Invesco BLDRS Emerging Markets 50 ADR Index Fund","Financial","Exchange Traded Fund","USA",,,,,,,2.29,5.41%,,,,,,,,,,,,,,,,6.65%,-10.11%,12.91%,-12.94%,42.23,-1.90%
57,"ADTN","ADTRAN Holdings, Inc.","Technology","Communication Equipment","USA",1417.02,,,1.73,1.52,,0.36,1.98%,-0.64,-460.90%,-17.60%,-2.40%,146.70%,-167.70%,821.40,77.66,74.93,3.17%,-9.40%,1.70,33.40%,-5.70%,-5.50%,-21.39%,-4.07%,-3.35%,-28.70%,18.16,-2.42%
58,"ADX","Adams Diversified Equity Fund, Inc.","Financial","Closed-End Fund - Equity","USA",1865.94,2.83,,54.86,0.88,,0.19,1.20%,5.59,,,,6.80%,,34.01,117.87,108.21,0.57%,,,,,,0.17%,-10.36%,8.87%,-10.69%,15.83,-1.37%
59,"AEE","Ameren Corporation","Utilities","Utilities - Regulated Electric","USA",22120.00,21.35,3.22,2.97,2.16,15.56,2.36,2.77%,4.00,9.70%,7.50%,1.00%,27.30%,6.00%,7456.00,258.40,257.49,1.68%,10.50%,0.80,76.10%,19.30%,13.90%,-6.87%,-3.68%,-4.07%,-14.01%,85.30,-1.65%
60,"AEHR","Aehr Test Systems","Technology","Semiconductor Equipment & Materials","USA",1026.96,83.50,4.17,16.81,17.47,855.80,,,0.43,493.80%,24.40%,21.90%,54.20%,406.30%,61.10,27.58,25.27,16.15%,24.30%,6.10,47.90%,19.80%,20.20%,140.73%,184.74%,78.21%,-3.33%,35.82,-2.32%
61,"AEIS","Advanced Energy Industries, Inc.","Industrials","Electrical Equipment & Parts","USA",3778.99,19.06,1.91,2.16,3.75,45.31,0.40,0.40%,5.20,0.20%,3.70%,24.70%,49.20%,262.70%,1751.60,37.38,36.83,4.95%,21.20%,2.70,36.40%,12.80%,11.20%,5.37%,14.64%,15.60%,-1.82%,99.16,-0.28%
62,"AEL","American Equity Investment Life Holding Company","Financial","Insurance - Life","USA",4010.07,3.49,0.13,2.14,1.31,0.86,0.36,0.75%,13.70,-34.00%,36.20%,10.70%,-9.30%,123.20%,1870.30,87.71,84.19,1.23%,27.70%,,,-41.40%,68.90%,33.16%,16.70%,4.93%,-0.71%,47.87,1.38%
63,"AEM","Agnico Eagle Mines Limited","Basic Materials","Gold","Canada",24016.47,35.38,,4.53,1.48,595.94,1.60,3.05%,1.48,5.40%,25.80%,12.30%,47.40%,-64.00%,5305.50,456.27,455.46,2.92%,4.20%,2.20,55.00%,23.70%,10.70%,19.84%,7.77%,0.87%,-21.89%,52.44,-4.59%
64,"AEO","American Eagle Outfitters, Inc.","Consumer Cyclical","Apparel Retail","USA",3131.70,28.95,,0.63,2.10,,,,0.57,261.60%,11.90%,6.80%,-2.60%,-44.10%,5001.70,186.31,175.68,8.93%,8.60%,1.90,34.50%,5.10%,2.40%,35.69%,-28.10%,18.19%,-32.65%,16.50,-3.17%
65,"AEP","American Electric Power Company, Inc.","Utilities","Utilities - Regulated Electric","USA",47291.12,19.10,3.11,2.51,1.94,12.26,3.32,3.60%,4.82,14.60%,31.80%,0.50%,19.50%,-16.20%,18819.80,513.73,513.70,1.42%,10.40%,0.80,65.40%,19.20%,13.10%,-7.84%,2.48%,-2.99%,-12.77%,92.11,-2.58%
66,"AES","The AES Corporation","Utilities","Utilities - Diversified","USA",17949.47,,,1.46,7.25,,0.66,2.53%,-0.64,7.90%,7.11%,1.60%,19.50%,22.60%,12327.00,711.00,665.70,1.82%,-12.30%,1.30,20.60%,-0.40%,-2.20%,14.09%,17.62%,-8.76%,-12.21%,26.24,-1.06%
67,"AESC","The AES Corporation","Utilities","Utilities - Diversified","USA",17794.67,,,1.44,25.22,,6.88,7.08%,-0.22,,,,19.50%,22.70%,12327.00,10.00,10.00,0.12%,,,,,,4.27%,6.52%,-4.82%,-7.05%,97.09,-0.39%
68,"AFB","AllianceBernstein National Municipal Income Fund, Inc.","Financial","Closed-End Fund - Debt","USA",317.63,11.51,,12.88,0.98,,0.39,3.55%,0.96,,-1.84%,,-1.70%,,24.66,28.74,28.74,0.20%,,,,,,-9.05%,-18.99%,5.44%,-18.33%,11.05,-1.25%
69,"AFBI","Affinity Bancshares, Inc.","Financial","Banks - Regional","USA",99.27,14.99,,3.16,0.86,17.42,,,1.00,167.20%,48.00%,23.60%,7.90%,6.40%,31.40,6.65,4.87,0.23%,5.80%,,,90.60%,21.50%,1.07%,-2.80%,-0.99%,-7.72%,14.95,0.75%
70,"AFCG","AFC Gamma, Inc.","Real Estate","REIT - Specialty","USA",326.05,7.72,,4.77,0.92,,2.24,13.97%,2.08,585.50%,,,64.50%,20.80%,68.40,20.02,16.28,2.32%,12.40%,,78.50%,67.80%,58.50%,-7.39%,-20.17%,1.91%,-22.71%,16.03,0.19%
71,"AFK","VanEck Africa Index ETF","Financial","Exchange Traded Fund","USA",,,,,,,0.58,3.39%,,,,,,,,,,,,,,,,-1.37%,-18.31%,5.85%,-22.34%,17.00,-1.62%
72,"AFL","Aflac Incorporated","Financial","Insurance - Life","USA",43175.85,8.86,7.84,2.06,1.81,15.60,1.68,2.42%,7.83,-4.20%,14.80%,-0.50%,-8.00%,91.10%,20928.00,629.35,563.18,1.74%,17.80%,,,26.50%,24.20%,17.27%,8.95%,-3.54%,-6.25%,69.39,0.71%
73,"AFLG","First Trust Active Factor Large Cap ETF","Financial","Exchange Traded Fund","USA",,,,,,,0.50,2.02%,,,,,,,,,,,,,,,,5.60%,-10.72%,6.64%,-9.51%,24.66,-0.78%
74,"AFRI","Forafric Global PLC","Consumer Defensive","Farm Products","United Kingdom",324.14,,,1.10,1.54,,,,-0.22,,,,9.20%,-190.20%,295.69,15.05,4.12,0.37%,-2.90%,0.00,,,,9.06%,14.00%,4.14%,-29.38%,11.56,2.66%
75,"AFRM","Affirm Holdings, Inc.","Technology","Software - Infrastructure","USA",4656.56,,,3.84,2.06,,,,-2.27,9.80%,,,25.00%,23.50%,1212.50,290.93,217.47,16.82%,-25.50%,,,-81.40%,-53.80%,-44.24%,-70.19%,87.69%,-78.28%,18.15,-14.14%
76,"AFT","Apollo Senior Floating Rate Fund Inc.","Financial","Asset Management","USA",191.79,10.44,,9.24,0.92,,1.30,9.77%,1.27,,,,-1.00%,,20.75,14.46,14.46,0.13%,,,,,,-0.75%,-19.00%,7.46%,-21.63%,13.26,0.45%
77,"AFTR","AfterNext HealthTech Acquisition Corp.","Financial","Shell Companies","USA",569.80,22.77,,,1.32,,,,0.44,,,,,-55.90%,,31.25,25.00,0.02%,5.90%,0.10,,,,4.01%,4.77%,0.90%,-0.10%,10.11,0.05%
78,"AFTY","Pacer CSOP FTSE China A50 ETF","Financial","Exchange Traded Fund","USA",,,,,,,0.33,1.94%,,,,,,,,,,,,,,,,-1.20%,-13.16%,6.95%,-16.14%,16.96,-2.73%
79,"AGG","iShares Core U.S. Aggregate Bond ETF","Financial","Exchange Traded Fund","USA",,,,,,,2.44,2.44%,,,,,,,,,,,,,,,,-3.90%,-10.65%,2.92%,-10.37%,99.82,-0.96%
80,"AGGR","Agile Growth Corp.","Financial","Shell Companies","USA",393.70,45.97,,,1.32,,,,0.22,,,,,-27.80%,,38.75,31.00,0.02%,2.90%,0.20,,,,3.78%,4.21%,0.69%,-4.15%,10.16,0.00%
81,"AGGY","WisdomTree Yield Enhanced U.S. Aggregate Bond Fund","Financial","Exchange Traded Fund","USA",,,,,,,1.23,2.79%,,,,,,,,,,,,,,,,-4.08%,-12.28%,3.41%,-12.16%,44.10,-0.93%
82,"AGI","Alamos Gold Inc.","Basic Materials","Gold","Canada",5651.21,121.02,,5.35,1.17,16.97,0.14,1.28%,0.09,-146.50%,-20.30%,11.30%,7.90%,-105.60%,1055.50,391.79,391.47,1.57%,1.00%,2.40,50.70%,12.60%,3.30%,34.98%,57.31%,5.34%,-8.31%,10.65,-1.66%
83,"AGIO","Agios Pharmaceuticals, Inc.","Healthcare","Biotechnology","USA",1657.68,,,167.44,1.58,,,,-6.72,-23.60%,-3.10%,,,-0.90%,9.90,54.84,54.23,12.35%,-31.10%,14.60,87.00%,,,5.56%,0.57%,7.55%,-13.12%,30.20,0.07%
84,"AGL","agilon health, inc.","Healthcare","Medical Care Facilities","USA",8935.54,,,3.60,8.35,,,,-0.27,-560.10%,,,51.50%,21.50%,2481.30,411.06,407.24,7.00%,-9.70%,2.50,11.20%,-4.20%,-4.30%,-13.60%,32.43%,36.62%,-22.25%,22.05,-2.48%
85,"AGNC","AGNC Investment Corp.","Real Estate","REIT - Mortgage","USA",6731.21,,,,1.13,15.30,1.44,12.04%,-3.57,286.60%,-7.30%,-4.10%,,-470.00%,-1698.00,571.62,568.62,6.41%,-26.50%,,,,,-2.84%,-17.35%,15.56%,-18.42%,11.96,-1.48%
86,"AGNCL","AGNC Investment Corp.","Real Estate","REIT - Mortgage","USA",6639.73,,,,2.31,,2.60,11.11%,,,,,,,-1698.00,6.00,,,,,,,,,,7.08%,-4.67%,23.45,-0.21%
87,"AGOX","Adaptive Alpha Opportunities ETF","Financial","Exchange Traded Fund","USA",,,,,,,0.17,0.74%,,,,,,,,,,,,,,,,2.15%,-8.01%,8.77%,-23.98%,22.29,-1.28%
88,"AGQ","ProShares Ultra Silver","Financial","Exchange Traded Fund","USA",,,,,,,,,,,,,,,,,,,,,,,,13.99%,-15.41%,-14.22%,-41.66%,27.45,-9.76%
89,"AGR","Avangrid, Inc.","Utilities","Utilities - Regulated Electric","USA",16114.39,17.97,4.13,2.09,0.83,,1.76,4.23%,2.32,5.10%,-0.60%,3.00%,15.00%,-5.30%,7698.00,386.74,70.75,5.69%,4.70%,0.70,69.50%,11.10%,11.70%,-16.28%,-10.53%,-3.09%,-19.45%,41.65,-1.72%
90,"AGTI","Agiliti, Inc.","Healthcare","Health Information Services","USA",2555.61,72.68,,2.26,2.74,12.79,,,0.27,204.10%,29.90%,16.70%,3.40%,-79.90%,1130.10,133.21,132.94,2.95%,4.00%,1.60,39.30%,7.20%,3.30%,-3.46%,4.05%,18.09%,-17.18%,19.26,1.64%
91,"AGX","Argan, Inc.","Industrials","Engineering & Construction","USA",558.96,27.40,2.74,1.21,2.07,,1.00,2.44%,1.50,95.50%,-11.80%,-5.50%,-5.30%,-27.70%,461.80,13.78,13.18,1.82%,7.40%,2.70,19.20%,6.70%,4.70%,16.36%,7.52%,11.28%,-2.64%,41.04,1.58%
92,"AGYS","Agilysys, Inc.","Technology","Software - Application","USA",2129.52,200.94,4018.89,11.11,18.32,103.37,,,0.41,118.10%,18.70%,5.00%,26.30%,208.70%,191.70,24.70,23.93,1.10%,10.20%,2.00,60.70%,5.70%,5.60%,64.40%,121.60%,4.86%,-3.50%,82.99,0.53%
93,"AGZD","WisdomTree Interest Rate Hedged U.S. Aggregate Bond Fund","Financial","Exchange Traded Fund","USA",,,,,,,1.19,2.71%,,,,,,,,,,,,,,,,1.23%,-0.06%,0.93%,-0.70%,43.86,0.27%
94,"AHCO","AdaptHealth Corp.","Healthcare","Medical Devices","USA",2891.35,33.65,1.16,1.00,1.33,43.94,,,0.64,134.60%,,,15.80%,-71.60%,2892.40,134.23,88.31,11.37%,4.10%,1.40,17.50%,7.90%,3.00%,-15.62%,21.18%,11.34%,-22.13%,21.40,0.33%
95,"AHH","Armada Hoffler Properties, Inc.","Real Estate","REIT - Diversified","USA",1125.10,15.93,3.19,3.02,1.81,106.14,0.76,5.91%,0.81,-55.20%,-21.10%,1.90%,83.00%,546.80%,372.50,67.73,66.42,0.86%,12.30%,,39.50%,27.50%,14.70%,-5.71%,-7.68%,11.91%,-14.94%,12.87,-0.08%
